Id,BIRTHDATE,DEATHDATE,SSN,DRIVERS,PASSPORT,PREFIX,FIRST,LAST,SUFFIX,MAIDEN,MARITAL,RACE,ETHNICITY,GENDER,BIRTHPLACE,ADDRESS,CITY,STATE,COUNTY,ZIP,LAT,LON,HEALTHCARE_EXPENSES,HEALTHCARE_COVERAGE
e3112f68-6ba0-c2de-a8bb-308d1922fbf4,1976-01-22,,999-70-4839,S99978368,X5365897X,Mr.,Edwardo860,Olson653,,,M,white,nonhispanic,M,Andover  Massachusetts  US,916 Schultz Station,Worcester,Massachusetts,Worcester County,01602,42.297029908122546,-71.8930052390381,1036435.95,9175.679999999997
d8bde556-778b-b02e-fc48-b338a1d6926a,1959-05-14,,999-81-6091,S99913789,X7450830X,Mr.,Prince887,Crist667,,,M,asian,nonhispanic,M,Quincy  Massachusetts  US,671 Haag Grove,Lowell,Massachusetts,Middlesex County,01850,42.61314283323201,-71.3118423624285,1317188.04,12525.119999999997
b0eb64e9-3411-b431-e0c6-5c08cfbf12d1,1980-11-19,1984-01-25,999-31-6358,,,,Margarito178,Gislason620,,,,white,nonhispanic,M,Lowell  Massachusetts  US,601 Schiller Extension,Haverhill,Massachusetts,Essex County,,42.751148535969286,-71.1005683801755,24240.2,245.79999999999998
90a9da53-9348-e91f-a9ad-de714b06a185,1976-04-16,,999-99-1459,S99959073,X41071670X,Mrs.,Saundra460,Koelpin146,,Emmerich580,M,white,nonhispanic,F,Burlington  Massachusetts  US,901 Toy Tunnel Suite 56,Salem,Massachusetts,Essex County,,42.482864817282184,-70.88638926803189,1102465.8699999999,5558.679999999999
efbcd7f4-4f52-ca46-d252-00a2b94f00e8,1990-01-18,,999-16-1368,S99946031,X61814173X,Mr.,Darrick836,Hilll811,,,M,black,nonhispanic,M,Plymouth  Massachusetts  US,615 Schiller Parade,Boston,Massachusetts,Suffolk County,02128,42.347603073923864,-71.10653595384763,672473.69,2908.04
f13f84ee-ccb5-1956-a357-a52fa0463c21,1985-01-21,,999-35-7849,S99992522,X88047885X,Mr.,Scot349,Treutel973,,,M,white,nonhispanic,M,Orleans  Massachusetts  US,930 Cummings Key,Boston,Massachusetts,Suffolk County,,42.3653768065685,-71.05856943874795,739999.31,3054.64
4244d313-4bc9-1bcb-1106-e2c9cd469a5c,2000-06-06,,999-50-8016,S99916153,X43755543X,Mr.,Damian46,Greenholt190,,,,white,nonhispanic,M,Westminster  Massachusetts  US,1069 Sporer Rue,Sharon,Massachusetts,Norfolk County,02067,42.13675822523105,-71.17097890413865,497728.99,3477.24
5629f0b2-1a49-61a3-d645-2ac2fcdc9702,2013-12-02,,999-63-8663,,,,Mason910,Treutel973,,,,black,nonhispanic,M,Springfield  Massachusetts  US,149 Mertz Trail,Westford,Massachusetts,Middlesex County,,42.556707538057054,-71.39128310876733,170761.95,2515.68
ee5065a1-a97a-7e83-797e-fd0908a2ab56,2005-01-17,,999-41-7892,,,,Lesha323,Ebert178,,,,white,nonhispanic,F,Framingham  Massachusetts  US,108 Emard Heights,Boston,Massachusetts,Suffolk County,02120,42.244312830510445,-71.08581470549936,5161.3,0.0
552bd9f6-8f23-9ed9-3cfd-fdbe7e1117e5,1974-04-12,,999-21-7185,S99951363,X39453340X,Ms.,Brandie19,Kuhn96,MD,,S,white,nonhispanic,F,Brockton  Massachusetts  US,335 Botsford Mews,Mansfield,Massachusetts,Bristol County,,41.969421660125384,-71.18102729149457,994531.37,13999.179999999998
53618f4f-a574-666b-20a8-e23c2d61896d,1980-11-19,,999-16-6409,S99938897,X57164400X,Mr.,Mckinley734,Renner328,,,M,white,nonhispanic,M,Southwick  Massachusetts  US,541 Deckow Extension Unit 53,Haverhill,Massachusetts,Essex County,01830,42.74817556260117,-71.16634663849713,42485.13,245.79999999999998
378d2676-cafc-acb6-56ab-305f0075f6ee,1988-10-03,,999-26-7252,S99929871,X3746999X,Mrs.,Vernon254,Jenkins714,,Mitchell808,M,white,nonhispanic,F,Bridgewater  Massachusetts  US,172 O'Kon Loaf,Abington,Massachusetts,Plymouth County,,42.16979814747283,-70.9700124821742,676346.05,5969.399999999999
a0b0299b-28a7-afd3-62d5-08ef89b0579a,2006-12-13,,999-31-2416,,,,Muriel394,Osinski784,,,,white,nonhispanic,F,Bolton  Massachusetts  US,119 Hamill Landing,Weymouth,Massachusetts,Norfolk County,,42.18086307589167,-70.98435786152797,322614.53,3492.2799999999997
4adb0a6f-53b1-99a1-c2a3-812a21e31ba7,1994-04-09,,999-10-9847,S99992098,X11722741X,Ms.,Maggie320,Barrows492,,,,white,nonhispanic,F,Dalton  Massachusetts  US,611 McCullough Rapid,Gardner,Massachusetts,Worcester County,,42.59520807973351,-72.01268511700195,561629.89,6514.399999999999
